Date,is_bullish,is_bearish,weighted_sentiment,weight,total_vol,avg_sentiment,bull_ratio,bear_ratio,sentiment_spread,sentiment_momentum
2021-07-29,3473,1164,7089.619500000001,18756.0,18756,0.3779920825335893,0.18516741309447643,0.062060140754958415,0.12310727233951801,-0.0019172230553477498
2021-07-30,7291,3189,9303.187899999999,37648.0,37648,0.24710975084997872,0.19366234594135145,0.08470569485762856,0.10895665108372289,-0.014150621255795123
2021-08-04,379,143,345.3636,1746.0,1746,0.1978027491408935,0.2170675830469645,0.08190148911798396,0.13516609392898055,0.026209442845257655
2021-08-05,2717,1125,2681.5958,12322.0,12322,0.2176266677487421,0.22049991884434345,0.09130011361791916,0.12919980522642427,-0.005966288702556277
2021-08-06,3534,1198,3893.1677,15483.0,15483,0.25144789123554867,0.22825033908157333,0.07737518568752826,0.15087515339404506,0.02167534816762079
2021-08-07,2966,1133,3053.3996,12782.0,12782,0.23888277264903773,0.23204506337036457,0.08864027538726334,0.14340478798310125,-0.007470365410943813
2021-08-08,6251,2764,8305.568500000001,33319.0,33319,0.24927424292445755,0.18761067258921335,0.08295567093850356,0.10465500165070979,-0.038749786332391456
2021-08-09,7987,3298,15891.688900000001,52528.0,52528,0.30253748286628085,0.15205223880597016,0.06278556198598842,0.08926667681998174,-0.01538832483072805
2021-08-14,1990,945,4093.5286,13164.0,13164,0.3109638863567305,0.15116985718626558,0.07178669097538742,0.07938316621087815,-0.009883510609103585
2021-08-15,5208,2128,8316.9669,29737.0,29737,0.27968412751790694,0.175135353263611,0.07156068197867976,0.10357467128493122,0.02419150507405307
2021-08-16,5949,2367,9066.8325,32131.0,32131,0.28218332762752485,0.18514829915035325,0.07366717500233419,0.11148112414801906,0.007906452863087832
2021-08-17,6511,2627,10326.0827,34650.0,34650,0.29801104473304474,0.1879076479076479,0.07581529581529582,0.11209235209235209,0.0006112279443330343
2021-08-18,6930,2626,11912.9292,36869.0,36869,0.3231150614337248,0.1879627871653693,0.07122514849873877,0.11673763866663052,0.004645286574278429
2021-08-19,5895,2582,8745.4741,33803.0,33803,0.2587188740644321,0.17439280537230423,0.07638375292133834,0.09800905245096589,-0.01872858621566463
2021-08-20,7482,2511,10147.472600000001,38673.0,38673,0.26239165826287075,0.1934683112248856,0.06492902024668373,0.12853929097820185,0.030530238527235964
2021-08-21,1688,767,2786.7253,10684.0,10684,0.2608316454511419,0.1579932609509547,0.07178959191314115,0.08620366903781355,-0.0423356219403883
2021-08-23,1786,778,2326.6374,10359.0,10359,0.22460057920648713,0.17241046433053384,0.07510377449560768,0.09730668983492616,0.011103020797112603
2021-08-24,4671,1931,6983.7432,26011.0,26011,0.2684919149590558,0.17957787090077276,0.07423782245972857,0.10534004844104419,0.008033358606118035
2021-08-25,7588,2788,17150.227899999998,45753.0,45753,0.37484378947828556,0.16584704828098704,0.06093589491399471,0.10491115336699233,-0.00042889507405186045
2021-08-26,7127,2822,11977.3464,38485.0,38485,0.3112211614914902,0.18518903468883982,0.0733272703650773,0.11186176432376252,0.006950610956770187
2021-09-10,3558,1653,5801.4507,22725.0,22725,0.2552893597359736,0.15656765676567658,0.07273927392739274,0.08382838283828384,-0.02803338148547868
2021-10-18,3963,1532,5976.1122,22595.0,22595,0.264488258464262,0.175392786014605,0.06780261119716752,0.10759017481743749,0.02376179197915365
2021-10-19,13947,4601,15654.7067,62680.0,62680,0.24975600989151245,0.2225111678366305,0.07340459476707084,0.14910657306955966,0.041516398252122166
2021-10-20,10010,2325,7792.179,33114.0,33114,0.23531373437216888,0.3022890620281452,0.07021199492661714,0.23207706710152806,0.0829704940319684
2021-10-21,8846,3785,10411.2147,42025.0,42025,0.2477386008328376,0.21049375371802498,0.09006543723973826,0.12042831647828672,-0.11164875062324134
2021-10-22,10277,4151,15392.8036,53592.0,53592,0.28722204060307505,0.1917636960740409,0.07745559038662488,0.11430810568741602,-0.006120210790870703
2021-10-23,7376,2870,11733.457,38806.0,38806,0.30236192856774724,0.19007369994330772,0.07395763541720353,0.11611606452610419,0.0018079588386881729
2021-10-27,4228,1636,5546.8255,21593.0,21593,0.25688072523502986,0.1958041958041958,0.07576529430834067,0.12003890149585514,0.003922836969750945
2021-10-28,7104,3093,9265.3807,36416.0,36416,0.2544315877636204,0.19507908611599298,0.08493519332161688,0.1101438927943761,-0.009895008701479038
2021-10-29,6328,2502,9456.0669,34685.0,34685,0.2726269828456105,0.18244197780020183,0.07213492864350583,0.110307049156696,0.00016315636231989394
2021-11-04,4519,1688,6991.190500000001,25673.0,25673,0.27231685038756676,0.17602150118801854,0.0657500097378569,0.11027149145016164,-3.555770653435042e-05
2021-11-05,6097,2384,9488.0212,35107.0,35107,0.27026009627709574,0.17366906884666874,0.0679066852764406,0.10576238357022814,-0.004509107879933499
2021-11-06,8978,3844,12458.798200000001,44938.0,44938,0.2772441630691175,0.1997863723352174,0.08554007744002848,0.11424629489518892,0.008483911324960777
2021-11-11,3760,1803,4877.1642,19559.0,19559,0.24935652129454472,0.1922388670177412,0.09218262692366685,0.10005624009407435,-0.014190054801114571
2021-11-12,8587,3872,10372.7154,39240.0,39240,0.2643403516819572,0.2188328236493374,0.09867482161060143,0.12015800203873597,0.020101761944661622
2021-11-18,7940,4469,7140.0504,34706.0,34706,0.2057295683743445,0.2287788854953034,0.12876736011064369,0.10001152538465971,-0.020146476654076262
2021-11-19,11974,6215,11807.173999999999,52754.0,52754,0.22381571065701178,0.22697804905789135,0.11781097167987262,0.10916707737801873,0.009155551993359018
2021-11-24,1120,451,1523.1977,6251.0,6251,0.2436726443768997,0.1791713325867861,0.07214845624700048,0.10702287633978563,-0.0021442010382330956
2021-11-25,6771,2561,12203.0788,36617.0,36617,0.3332626594204877,0.18491411093208074,0.06994019171423109,0.11497391921784965,0.007951042878064016
2021-11-26,12191,6525,13771.688,56311.0,56311,0.24456479195894232,0.2164941130507361,0.115874340714958,0.1006197723357781,-0.014354146882071553
2021-12-11,1217,594,1239.6737,5969.0,5969,0.20768532417490368,0.2038867481990283,0.09951415647512146,0.10437259172390684,0.003752819388128742
2021-12-17,3728,2913,4932.2955,19822.0,19822,0.2488293562708102,0.18807385733023912,0.14695792553728182,0.041115931792957305,-0.06325665993094953
2021-12-29,1190,497,662.2035,3747.0,3747,0.17672898318654923,0.3175874032559381,0.13263944488924473,0.18494795836669337,0.14383202657373606
2021-12-30,5203,2950,5488.3685,24321.0,24321,0.22566376793717363,0.21393034825870647,0.12129435467291641,0.09263599358579006,-0.09231196478090331
2022-01-11,2224,1056,2456.9669,11511.0,11511,0.21344513074450525,0.19320649813222135,0.09173833724263748,0.10146816088958387,0.008832167303793811
2022-01-12,7599,3295,9585.035100000001,40751.0,40751,0.23520981325611645,0.18647395155947094,0.08085691148683467,0.10561704007263627,0.004148879183052401
2022-01-13,8163,3638,9137.8334,42028.0,42028,0.21742251356238698,0.19422765775197487,0.08656134005900828,0.10766631769296658,0.002049277620330317
2022-01-14,4839,2530,7703.597,29732.0,29732,0.2591012040898695,0.1627539351540428,0.08509350195076013,0.07766043320328267,-0.030005884489683915
2022-01-19,757,446,724.349,3651.0,3651,0.19839742536291427,0.20734045466995343,0.12215831279101616,0.08518214187893727,0.007521708675654604
2022-01-20,4441,2857,4602.4568,21600.0,21600,0.2130767037037037,0.20560185185185184,0.1322685185185185,0.07333333333333333,-0.01184880854560394
2022-01-21,6808,8020,5382.5069,34487.0,34487,0.15607350305912374,0.19740771885058137,0.23255139617827006,-0.035143677327688694,-0.10847701066102203
2022-01-22,16098,12171,12059.1306,70534.0,70534,0.17096904471602348,0.22823035699095473,0.17255507981966145,0.05567527717129328,0.09081895449898197
2022-02-09,5739,2143,5193.0417,24381.0,24381,0.21299543496985357,0.2353882121323982,0.08789631270251426,0.14749189942988394,0.09181662225859066
2022-02-14,1058,487,974.3747,5280.0,5280,0.18454066287878787,0.20037878787878788,0.09223484848484849,0.10814393939393939,-0.039347960035944554
2022-02-15,1921,700,1959.9027,8552.0,8552,0.22917477782974743,0.22462581852198316,0.08185219831618334,0.1427736202057998,0.03462968081186042
2022-02-16,764,303,746.6095,3502.0,3502,0.21319517418617934,0.21816105082809822,0.086521987435751,0.1316390633923472,-0.0111345568134526
2022-02-17,3621,2300,3788.4942,17556.0,17556,0.21579483937115518,0.20625427204374572,0.13100934153565733,0.07524493050808839,-0.05639413288425882
2022-02-18,3276,2144,3937.9701999999997,17748.0,17748,0.2218824768988055,0.1845841784989858,0.12080234392607618,0.06378183457290963,-0.01146309593517876
2022-03-02,1581,809,1903.7441000000001,8214.0,8214,0.231768212807402,0.19247626004382762,0.09849038227416605,0.09398587776966157,0.030204043196751934
2022-03-06,1586,929,1930.0188,7950.0,7950,0.2427696603773585,0.19949685534591194,0.11685534591194968,0.08264150943396226,-0.01134436833569931
2022-03-07,4007,2866,5589.1691,23832.0,23832,0.23452371181604564,0.16813528029540115,0.12025847599865727,0.047876804296743875,-0.03476470513721838
2022-03-08,786,411,908.0154,5014.0,5014,0.18109601116872756,0.15676106900678102,0.08197048264858396,0.07479058635819706,0.026913782061453187
2022-03-09,2697,1387,3818.8207,15359.0,15359,0.2486373266488704,0.175597369620418,0.09030535842177224,0.08529201119864575,0.010501424840448692
2022-03-10,5415,3431,8099.355100000001,32673.0,32673,0.2478913812628164,0.16573317418051603,0.10501025311419214,0.06072292106632389,-0.024569090132321864
2022-03-14,570,426,719.1911,3465.0,3465,0.20755875901875903,0.1645021645021645,0.12294372294372294,0.04155844155844157,-0.019164479507882318
2022-03-15,5138,3011,7736.1483,30890.0,30890,0.250441835545484,0.16633214632567173,0.09747491097442539,0.06885723535124634,0.027298793792804768
2022-03-16,7236,3485,10203.1645,42747.0,42747,0.238687264603364,0.16927503684469086,0.08152618897232554,0.08774884787236532,0.018891612521118983
2022-03-17,3877,2297,4984.9446,22960.0,22960,0.2171143118466899,0.1688588850174216,0.10004355400696864,0.06881533101045297,-0.01893351686191236
2022-03-18,3936,2564,4246.4745,20413.0,20413,0.20802794787635331,0.1928183020624112,0.12560623132317641,0.0672120707392348,-0.0016032602712181682
2022-03-19,3840,2291,4979.879800000001,16140.0,16140,0.30854273853779435,0.2379182156133829,0.1419454770755886,0.09597273853779428,0.028760667798559486
